No,Contents
4341,"Y con el respeto que merecen todas las mujeres, las mayores prostitutas no son Pereiranas, paisas, costeñas o venezolanas, son los noticieros de nuestro país!"
4345,Venezolanos de mierdaaaa! Rateros hp! 🤬🤬
4349,"Que será lo q espera @alcaldiabogotau con esos campamentos para venezolanos en barrios residenciales, q se incremente la inseguridad o q las personas q sí se esfuerzan por trabajar les den su casa para q ellos puedan dormir comodos, ya q toda la ayuda brindada no les sirve.."
4350,RT @omarbula: La solidaridad con los migrantes venezolanos es fundamental - pero es también imperativo acompañarla de rigurosos mecanismos de control. Tener “fronteras abiertas” con la #Venezuela de hoy - es facilitar el tránsito libre de criminales & droga entre los dos países… @geopolytica
4351,"@luismorkupido1 @MonroyUS @merecumbiandofu La culpa es de los venezolanos, ahí que verlos como lo aplaudían y golpeaban a sus conciudadanos, ahora vienen a Colombia, a quitarles el trabajo a nuestros compatriotas, le llama a eso xenofobia? Yo le llamaría protección a su futuro que está en peligro"
4359,"RT @_picis_: 🇪🇸 Estudiantes salen a protestar. 🇲🇽 Estudiantes salen a protestar. 🇨🇱 Estudiantes salen a protestar. 🇻🇪 Estudiantes venezolanos: héroes que buscan rescatar la democracia. 🇨🇴 Vándalos, delincuentes, guerrilleros de civil, violadores de la ley. #ParoEstudiantil"
4364,"QT @VPITV: RT @pegada123: Parece que los gringos no son paja como los CHINOS ladrones...que ni atendieron y q cuando vieron a tantos llegar...,zarparo… ; #27Nov Ya el equipo reporteril de VPItv se encuentra abordando el helicóptero que los trasladará hasta el Buque Hospital USNS Comfort, donde le están prestando, por segundo día consecutivo, asistencia médica a migrantes venezolanos en Colombia. https://t.co/2GI3md23ef"
4368,"QT @NoticiasCaracol: Los bogotanos somos los nuevos venezolanos ; Cansados de la inseguridad y la movilidad, el 46% de los habitantes de Bogotá ha pensado en irse https://t.co/8QNNYwcwgO"
4370,RT @Alv_Jess_Men: Yo sabía que ese albergue que le hicieron a los hijueputas venezolanos no iba a servir para nada. Llegan dañan todo aquí en Colombia y Bogotá y fuera del hecho bravos. Terrible situación.
4371,"QT @Bogota: No es xenofobia, es poner de manifiesto arbitrariedad de @integracionbta, mala planeación y desorganización en #nuevocampamentovenezolanos que afecta a residentes con inseguridad, insalubridad, mala movilidad @DefensoriaCol @PGN_COL @VeeduriaBogota ; Hacemos un respetuoso llamado a los ciudadanos para evitar discriminación y xenofobia contra venezolanos en campamentos humanitario. >> https://t.co/vbXBezFLwu #SonNuestrosPanas https://t.co/UcB0DxhzR3"
4373,#AlAire en #ColombiaAlAire 35 venezolanos indocumentados fueron retornados desde #SanGil hasta su país. Hay preocupación en este municipio por la posible relación entre el incremento de la delincuencia y la presencia de migrantes. ¡Sintoniza los 92.3 FM de @RadNalSantander! 📻🎤 https://t.co/0MlxJ0qMiO
4378,RT @pulzo: Venezolano se armó de valor y ayudó a capturar a dos ladrones en Transmilenio https://t.co/79Vv9zgMWi https://t.co/rTwEYlThGg
4379,RT @CARLOSFMEJIA: Opositores venezolanos denuncian que @NicolasMaduro permite y protege la presencia de los criminales del #ELN en la frontera. Habitantes del sector viven atemorizados. https://t.co/hN0RuqjNGn
4384,"RT @cristiancrespoj: El chavismo ha condenado a muchos venezolanos a alimentarse como las ratas, de noche y en la basura! Admiro a las fundaciones que hacen lo imposible por ayudar a los más necesitados, pero hay que seguir denunciando sin tregua! Denunciar y ayudar! Video 👉 ""manodediosve"" (Instag.) https://t.co/wUQnmH2T6K"
4385,"RT @cristiancrespoj: El chavismo ha condenado a muchos venezolanos a alimentarse como las ratas, de noche y en la basura! Admiro a las fundaciones que hacen lo imposible por ayudar a los más necesitados, pero hay que seguir denunciando sin tregua! Denunciar y ayudar! Video 👉 ""manodediosve"" (Instag.) https://t.co/wUQnmH2T6K"
4387,"RT @cristiancrespoj: Aunque se trató de esconder cómo las ratas, el esbirro @jaarreaza fue descubierto en El Imperio, nada más y nada menos que en New York! Pero siempre hay venezolanos valientes que no olvidan y que les dicen tres o cuatro verdades en su cara! Que no descansen nunca nunca nunca! https://t.co/dWG3N0vMss"
4388,"RT @MuerteEnElVacio: Ojalá todos los que rechazan a los venezolanos viajen un día y los traten como delincuentes colombianos, o les digan narcos o putas, para que vean lo lindo que se siente el prejuicio social."
4389,"QT @MaihenH: ESA ES LA PUTA IZQUIERDA Y SU SOCIALISMO DEL QUE NO SE QUE PUTAS DE QUÉ SIGLO !! ; Saludos @NicolasMaduro se que odias a los venezolanos y prefieres enviar ayuda humanitaria a Cuba y negársela al país. Tu modelo sólo sirve para robar y matar. Aquí otra evidencia este es Hospital Cardiológico y Oncológico de Montalbán, estaría listo en 2013 #CorrupciónRoja https://t.co/uH13H1301e"
4400,RT @LidioDominante: El humanismo fortalece todas las mafias: —Prohibir el trabajo infantil empuja a los padres a la explotación sexual de los niños. —Poner trabas al comercio legal empuja a los pobres a todo lo ilegal. —Exceso de prestaciones sociales mueve carteles de mano de obra venezolana.
4413,RT @resident1186: @MontalvoMelva @totono56 @ferondon2006 @Florencia_9010 @Yola26mar @saintmayo1981 @pyajol @NANDOR19661 @licpcruz2 @solaidarvteamo @OnlineFighterVe @ElAndino09 @isaac_jairo @emilioccs21 @Fredypm @IslaMacondo @juliogat150 @Ramseslm1 @rodarellanob @Owlsoviet @suyaro_32 @nelsonherdz @OJOVENE @urbimaria37 @manoantonio_2 @Armando_550 @york030 @jilssa @LadyFire22 @dpiloncita @ALEXDARIOROD @uzumaki241181h2 @Fernand58210702 @JoseGregorio40 @JoseBravo2021 @Raulgk10 @onwonw1 @dalp2802 @uzumaki72573611 @el_chino33 @ldbastidas @POTUS_USA_45 @Gianny77 @licpcruz @burundango1970 @PoPeye_Ve @Nitroxrrv @Tanita_mia @Taureana001 @ArielAnglada Me imagino en Venezuela por un plato de comida las putas colombianas arreglas porque las venezolanas le quitan la plaza
4416,"RT @DBonyuet: Docena de padres prenden velas por los 20 niños fallecidos por brote infeccioso EVITABLE en el JM de Los Rios Bandas criminales reclutan niños venezolanos con comida Predadores sexuales abusan de niños y niñas, con comida Tranquilo, todo esta NORMAL Vzla #AunqueUstedYaLoSabia https://t.co/UcUW16y1wZ"
4420,Y esos venezolanos/hondureños que no aceptan las ayudas y antes exigen ¿qué inventan? Pa su puta mierda hijueputas!
4421,RT @freddier: 🔪 La gente jura que la inseguridad y el crimen aumenta. NO es verdad. 📉 El crimen está estadísticamente más bajo que nunca. (Excepto en Cali y Barranquilla pero no relacionado con venezolanos) Siempre es más fácil echarle la culpa al migrante. Pregunten a Trump 🤦‍♂️ 4/6
4426,@YanethPalacio20 @IvanDuque Que tal hijueputas criminales venecos colombianos ya no ayuden más ha estos hiujeputas
4428,"@andreatortoza @NicolasMaduro @quiskillosa @Lezama14 @eduardojo900 @EM_357 @esilvaubv @Mazo05Dando1 @GianiProfe @magacecilia @ariesmorrison @tattianac5 Presidente,venga a Colombia por las centenares, miles de mujeres venezolanas que están ejerciendo la prostitución y mendicidad en Colombia.Último Senso: más de un millón de su pueblo refugiado en nuestro país,toda América llena de prostitutas venezolanas por culpa de su dictadura"
4429,"RT @_picis_: 🇪🇸 Estudiantes salen a protestar. 🇲🇽 Estudiantes salen a protestar. 🇨🇱 Estudiantes salen a protestar. 🇻🇪 Estudiantes venezolanos: héroes que buscan rescatar la democracia. 🇨🇴 Vándalos, delincuentes, guerrilleros de civil, violadores de la ley. #ParoEstudiantil"
4432,RT @ernestocortes28: Migración Colombia y demás autoridades hacen bien en expulsar a venezolanos que armaron asonada violenta en un albergue en el que solo se busca que sean atendidos dignamente. Solidaridad con venezolanos que quieren huir de dictadura corrupta de su país y aceptan nuestra ayuda.
4439,"RT @conzumogonzo: 🇪🇸 Estudiantes salen a protestar. 🇲🇽 Estudiantes salen a protestar. 🇨🇱 Estudiantes salen a protestar. 🇻🇪 Estudiantes venezolanos: héroes que buscan rescatar la democracia. 🇨🇴 Vándalos, delincuentes, guerrilleros de civil, violadores de la Constitución y La Ley"
4441,RT @LuisCisf: Pa' fuera venecos hijueputas llave
4443,@ChismesCol Hasta los venezolanos les está quitando el negocio a las ratas colombianas
4446,QT @Alv_Jess_Men: Pero tampoco debes de. Llamarnos hijueputas porque hay quienes si somos bien portados en tu país. Nosotros no los llamamos a ustedes malditos narcotraficantes porque no todos lo son tampoco así que un poco más de respeto ; Yo sabía que ese albergue que le hicieron a los hijueputas venezolanos no iba a servir para nada. Llegan dañan todo aquí en Colombia y Bogotá y fuera del hecho bravos. Terrible situación.
4448,No debemos estigmatizar a los hermanos venezolanos por el tema de inseguridad. @ViaPublicaCol https://t.co/7RvOn12zv2
4449,RT @AngelaMaria29: Tres locales ubicados en el centro de Bogotá son objeto de extinción de dominio por el delito de trata de personas con fines de esclavitud sexual con ciudadanas venezolanas. El operativo es desarrollado por @FiscaliaCol @PoliciaColombia y Alcaldía @Bogota https://t.co/hKNZvjVLpu
4450,"Venezolanos n refugio d Engativá: rolitranco d mamagüevos todos😡 Son unos malagradecidos y ojalá los dportn para q sigan llvando patria...los países receptores no stán obligados ni tienen responsabilidades con uds...n vz d agradecer la ayuda, malditas ratas!!! PD: soy venezolano"
4451,"La doctora Polo explotó por comentario de una xenófoba: ""Aquí se meten las ratas venezolanas"" (Imágenes) https://t.co/KYKizbq3jt"
4452,"RT @yamisaleh: Estamos en el saqueo más grande de la historia de Venezuela y también en el hambre más grande de nuestros niños Venezolanos, los culpables pasarán historia del mundo como criminales."
4457,"@NicolasMaduro Presidente,venga a Colombia por las centenares, miles de mujeres venezolanas que están ejerciendo la prostitución y mendicidad en Colombia.Último Senso: más de un millón de su pueblo refugiado en nuestro país,toda América llena de prostitutas venezolanas por culpa de su dictadura"
4459,RT @FelixEGuerrero: Albergues que el país pone al servicio de los venezolanos que huyen de la situación del vecino país no pueden convertirse en guarida para delincuentes y foco de inseguridad en nuestras ciudades https://t.co/x9zBR10ydR
4460,"Hay que expulsar esos Venezolanos, que al parecer están infiltrados para generar caos. Hay que hacerle frente, mucha inseguridad!"
4463,"RT @AndreCasMo: Aburrida de ver la ciudad y el País invadido de venezolanos rateros mal agradecidos y mantenidos, no son todos pero son igual a los taxistas por uno pagan todos y no deben morder la mano a quien les da de comer #VenezolanosEnLaCapital #venezolanos .I."
4468,"QT @WernerGutierrez: RT @BrujulaZuliana: Autoridades civiles y militares,la salvación del Campo Venezolano, es vital para la generaciones futuras.Millones de li… ; La inseguridad reinante en la zona La Villa del Rosario - Machiques - Colon #Zulia sin acciones contundentes de los cuerpos de seguridad del gobierno nacional y regional, ha originado la perdida de casi 1.0 millón de litros de leche por día en esta importante zona. #Venezuela"
4472,"RT @cristiancrespoj: Aunque se trató de esconder cómo las ratas, el esbirro @jaarreaza fue descubierto en El Imperio, nada más y nada menos que en New York! Pero siempre hay venezolanos valientes que no olvidan y que les dicen tres o cuatro verdades en su cara! Que no descansen nunca nunca nunca! https://t.co/dWG3N0vMss"
4473,RT @Afbrico: Culpar a los hermanos venezolanos de la inseguridad y el desempleo en Colombia es como culpar de la borrachera al sereno...
4474,"QT @PableOstos: RT @MariaCorinaYA: 1/2. URGENTE. Una vez más, grupos criminales y guerrilla del ELN asesinan a soldados y oficiales venezolanos. Hoy ocurr… ; #Amazonas #4Nov Una comisión de la #GNB que se desplazaba en 4 vehículos militare fueron emboscados por grupos irregulares en el sector Picatonal (eje carretero Norte,Puerto Ayacucho-El Burro). 10 militares resultaron heridos por arma de fuego y 3 sargentos fallecieron."
4476,"RT @cristiancrespoj: Aunque se trató de esconder cómo las ratas, el esbirro @jaarreaza fue descubierto en El Imperio, nada más y nada menos que en New York! Pero siempre hay venezolanos valientes que no olvidan y que les dicen tres o cuatro verdades en su cara! Que no descansen nunca nunca nunca! https://t.co/dWG3N0vMss"
4477,"RT @Bogota: ¡#AyudateQueYoTeAyudaré! El mensaje claro del Distrito en voz de nuestro secretario general, @raulobuitrago. Haremos trámites correspondientes con migración Colombia para expulsar a Venezolanos que NO sepan convivir en el campamento humanitario y en la ciudad. 🛑 https://t.co/Ur4EmJyvoB"
4478,"Sigan defendiendo a los venecos, bobos hijueputas."
4480,"Bogotanos están preocupados con la ""supuesta"" inseguridad causada por venezolanos, pero se olvidan de los 'inter' que viajaban a delinquir a USA, de porque pedían visa en todas partes, del passporte verde y que el país que recibía colombianos pobres era Vzuela."
4483,"QT @ATodoMomento_: No aceptan homosexuales, pero si tienen un nido de ladrones en la verga esa. ; Albergue de venezolanos en #Colombia rechaza a migrantes homosexuales https://t.co/oJytpGmf2a #ATodoMomento"
4485,"cambia tu mente y corazón primero, para después cambiar el país...“Si ayudamos a los venezolanos no habría nesecidad de que se pongan a robar”...Acaso en colombia no hay ladrones?...Esto no se trata de quien es peor,se trata de ayudar al nesecitado... #UnChallengePorVenezuela"
4488,"RT @Gamisox: Todos los Venezolanos qué hacemos vida en Colombia, hacemos un llamado a las autoridades Colombianas a que castiguen con cárcel y luego expulsión a cualquier Venezolano que cometa un delito grave. Sí es delito menor, expulsión del país. #MigracionColombia #Colombia"
4490,@MafeMu_ Entonces no deben expulsar a los venecos que delinquen en Colombia?
4493,QT @NoticiasCaracol: Aaaa pero acá los Hijueputas del ESMAD si son severas flores. ; Hasta los baños rompieron: disturbios en campamento de venezolanos en Engativá https://t.co/1CxKp9SZNE https://t.co/V1Az3ze5Cm
4494,"@davidpmaya @BluRadioCo En Colombia no son bienvenidos los venezolanos o extranjeros delincuentes; allá hay muchos nacionales, aportando a la inseguridad... Insisto los recursos se deben invertir en los colombianos decentes que necesitan ayuda😎🤗"
4505,"RT @cristiancrespoj: Aunque se trató de esconder cómo las ratas, el esbirro @jaarreaza fue descubierto en El Imperio, nada más y nada menos que en New York! Pero siempre hay venezolanos valientes que no olvidan y que les dicen tres o cuatro verdades en su cara! Que no descansen nunca nunca nunca! https://t.co/dWG3N0vMss"
4507,No le basta a Colombia su propia delincuencia ahora hay que sumarle la del vecino país Venezolano.
4508,QT @elespectador: RT @HippieEnproceso: Deporten a esos hijueputas. https://t.co/qQMOQx5oUf ; Imágenes de los desórdenes en el campamento de venezolanos de Bogotá. https://t.co/OvkOrGMz1v https://t.co/VBiWVSZD0V
4509,"RT @Hangel86: Despues de la liberación venezolana, varios ciudadanos debemos dedicarnos a ser como Simon Wiesenthal... a recordar, a documentar buscar a los criminales chavistas donde estén y llevarlos a pagar sus crimenes. No se trata de venganza, se trata de Justicia."
4510,RT @AngelaMaria29: Tres locales ubicados en el centro de Bogotá son objeto de extinción de dominio por el delito de trata de personas con fines de esclavitud sexual con ciudadanas venezolanas. El operativo es desarrollado por @FiscaliaCol @PoliciaColombia y Alcaldía @Bogota https://t.co/hKNZvjVLpu
4515,"QT @NDtitulares: Ojalá mentan preso a toda esta plaga que se Robó el dinero de los venezolanos y q tienen al pueblo sumido en la peor miseria y hambruna Ladrones ; Acusan a Raúl Gorrín de presunto lavado de dinero en EE.UU, según periodistas - https://t.co/ptEZeunnkx https://t.co/bGB25g6rMs"
4516,"@Citytv A vida hijueputa, venecos por todos lados, no hacen más si no alimentar a esas ratas...... Los dejan robar y aun encima les dan campamentos, y comida, por eso es que se están multiplicando las ratas esas......."
4517,"RT @cristiancrespoj: Aunque se trató de esconder cómo las ratas, el esbirro @jaarreaza fue descubierto en El Imperio, nada más y nada menos que en New York! Pero siempre hay venezolanos valientes que no olvidan y que les dicen tres o cuatro verdades en su cara! Que no descansen nunca nunca nunca! https://t.co/dWG3N0vMss"
4518,@CaracolRadio En verdad... gente asi merece que les den toda la ayuda que se les da ?.... ya es hora de cerrar la frontera y no admitir mas venezolanos en colombia. Bastantes ladrones tenemos aca como pa estar recibiendo mas. @IvanDuque
4521,"@NoticiasCaracol Malparidas ratas venecas inmundas, cuando acabarán con toda esa plaga asquerosa."
4524,"QT @JoseCuelloB: RT @Ross0379: Junto con los ciudadanos de bien que agobiados por el hambre y la inseguridad vinieron a nuestro país, también llegaron los m… ; 🔴 Venezolanos en Bogotá robaron comida, rompieron cámaras de seguridad y dañaron distintos bienes de la ciudad. Esto me da mucha tristeza porque durante mucho tiempo hemos ayudado a los venezolanos. Esta gente debe ser expulsada de Colombia. Esto es intolerable. #19nov https://t.co/c8dLkeMoMa"
4525,"@CarlosS82074261 Sicarios hijueputas, y más hijueputas los venecos malparidos que están haciendo daño, y más triple hijueputas este marica gobierno que no está haciendo nada para. Combatir esta plaga que se está viniendo de Venezuela. 😠😠"
4526,"RT @gabyarellanoVE: Tareck Wiliam Saab no busque en EEUU a ladrones capos y mafiosos Venezolanos, en CARACAS en la oficina que ud usurpa van semanalmente los más grandes ladrones del PSUV que son socios tuyos, tu los conoces y sabes que Andrade y compañía están soltado toda la información"
4528,"La xenofobia se te acaba cuando llegas al aeropuerto Benito Juárez y te tratan como a todos esos venezolanos que dices que están sucios, que son ladrones, prostitutas y muertos de hambre, bai."
4529,"@Victria10420729 Presidente,venga a Colombia por las centenares, miles de mujeres venezolanas que están ejerciendo la prostitución y mendicidad en Colombia.Último Senso: más de un millón de su pueblo refugiado en nuestro país,toda América llena de prostitutas venezolanas por culpa de su dictadura"
4534,"Expulsar Venezolanos, Colombianos no tenemos xq responder x su situacion. Aguantar inseguridad y perdida empleo Colombianos"
4537,"#ParoEstudiantil | Si son venezolanos que salen a las calles a protestar son héroes que buscan rescatar la democracia pero si son estudiantes colombianos entonces son vándalos, delincuentes y violadores de la Constitución y La Ley. COHERENCIA señoras y señores, COHERENCIA."
4540,"RT @adonis1108: 👏👏👏👏👏👏👏👏👏👏 #VenezuelaDesastreNacional La @DraPoloOficcial defendió a los emigrantes en #EEUU ante los radicales comentarios de una mujer que llamó ""ratas"" a los venezolanos y cubanos que huyen a ese País. #CasoCerrado https://t.co/CK4EhMqjNo"
4546,"QT @Bogota: RT @Telloalfonso: Pero hable con más vehemencia a ver si le creen y no que suene a ""pao pao"" https://t.co/K1rh6tOCMM ; ¡#AyudateQueYoTeAyudaré! El mensaje claro del Distrito en voz de nuestro secretario general, @raulobuitrago. Haremos trámites correspondientes con migración Colombia para expulsar a Venezolanos que NO sepan convivir en el campamento humanitario y en la ciudad. 🛑 https://t.co/Ur4EmJyvoB"
4548,@indiosdelavega La mayoria son ladrones o venezolanos que se venden por 20 mil pesos
4551,"@Citytv Pero qué lindo se ven hablando pestes de los venezolanos 😁 se me olvidaba que Colombia es uno de los países que más exporta ciudadanos a otros países , que dicho sea de paso no los quieren en ningún lado , por problemáticos y mal vivientes , ah de paso ladrones , eso dicen ..."
4552,"RT @InSightCrime_es: .@jerrymcdermott habla sobre otra de las investigaciones, la de Venezuela como un Estado mafioso: ""Para nosotros, solo en términos criminales, esos venezolanos que están emigrando de su país están expuestos a la explotación por parte de grupos de crimen organizado"""
4558,"@EnriquePenalosa Y esto cuanto nos va a costar también que paguen impuestos como nosotros,que produzcan también o que todo regalado y está ciudad llena de ladrones venezolanos."
4564,"@NoticiasCaracol Desalojen a esa plaga de ratas, lo que faltaba poner a vivir mal a los colombianos por tener bien a esos venecos inconformes con nada......."
4567,"RT @_picis_: 🇪🇸 Estudiantes salen a protestar. 🇲🇽 Estudiantes salen a protestar. 🇨🇱 Estudiantes salen a protestar. 🇻🇪 Estudiantes venezolanos: héroes que buscan rescatar la democracia. 🇨🇴 Vándalos, delincuentes, guerrilleros de civil, violadores de la ley. #ParoEstudiantil"
4569,"QT @soyotrocarboon: se llaman venezolanos ; Venga, traigamos a coalición el asunto sobre la plaga de ratas hijueputas que hay en la ciudad y luego hablamos de las palomas, gracias."
4573,"@BluRadioCo Si ud no le da empleo, plata ,regalos ,arriendo,limosna,trabajo,nada pues facil los venecos se largan a delinquir a otro pais sea colombiano no apoye la vagancia y delincuencia"
4585,"RT @CNNEE: @carlaangola, periodista venezolana, dice que #Venezuela está gobernada por criminales de lesa humanidad comprobados y sentenciados a corrupción por el Tribunal Supremo de Justicia en el exilio https://t.co/OfG0RLagKN @soyfdelrincon"
4594,"@NoticiasCaracol No digan tanto que se van a venir una manada de venezolanos de las otras ciudades de Colombia, y esto traerá más inseguridad a Bogotá"
4595,"RT @Colectivoinfor1: Y antes decia que las puertas estaban abiertas para los venezolanos. Me encantaria que un dia @LaPullaOficial hiciera un reportaje del alcalde de bucaramanga, d todos sus negocios sucios, d vitalogic, d como tiene vuelta nada la cuidad, q culpa a los venezolanos de la inseguridad https://t.co/JNxVra0CVC"
4601,RT @CaracolRadio: #CaracolEsMás | Vecinos de cambuches de venezolanos denuncian inseguridad ---> https://t.co/nHCJfy19an https://t.co/5XAKoUmTqE
4603,"Siguen los asaltos en la capital @Bogota , la inseguridad campea y algunos medios consienten a los criminales evitando decir que son bandas de venezolanos. Todo por su nombre."
4608,"RT @NoticiasCaracol: “No somos ladrones, ni muertos de hambre. Somos seres humanos”: caminante venezolana https://t.co/fHhxVuZBPA #InformeEspecial https://t.co/Cwuqr1cdyL"
4609,RT @bryanasdfghjk: Ya estabamos llenos de ladrones en este país como para que ahora vengan estos venezolanos culeros a hacer la misma joda.
4610,"En @NoticiasCaracol están reportando un incremento de ""peligrosas bandas criminales de extranjeros""... me pregunto de donde serán ¿Dinamarca, Suecia, Inglaterra o Canadá?. Sigan creyendo que con eufemismos y corrección política van a resolver el problema de los venezolanos."
4611,"RT @chanpo_llion: @IvanDuque Sr.Presidente cuál es afán cédulas y hacer nacionales venezolanos.van a colapsar la salud,prioridad los nacionales menos favorecidos.esta masiva migración tiene algún interés oscuro?cuantos están cedulando diarios recibiendo beneficios niegan colombianos,delincuencia"
4612,QT @lauraarcon: Que ratas. Deja que pase su madre a ver ; Quiero Denunciar Q Hoy 5 De Septiembre 2018 Mi Madre y Yo Fuimos Desnudadas Revisadas Por Los Guardias Venezolanos Que Estan En El Alcabala de Migracion de Puerto Santander Nos Quitaron 160$ Para Dejarnos Ir Teniente S. Torres Recibio el Dinero ayudame difundir @LucioQuincioC
4633,@JOSEOBDULIO Estamos jodidos nosotros y le piensan dar nacionalidad a la cantidad de delincuentes y prostitutas que están llegando? Porque desafortunadamente esos son los Venezolanos que están ingresando
4635,"@elespectador Dijeron la verdad, esos venezolanos trataron a los Colombianos en su país de paracos, ladrones y narcos, ahora quieren venir aca y los traten como reyes y con su cuento de Pobresitos y hay que ayudarlos, más bien ayudemos a los nuestros que aguantan hambre y nadie les ayuda"
4639,"RT @DanielHincapieO: Se montó una chica venezolana a vender dulces a un bus que frecuento, había repartido los dulces a las primeras filas y desde atrás le gritaron ""QUE DICEN LOS HIJUEPUTAS"". La chica respondió “LOS MAL PARIDOS LOS MÁS GONORREAS”, todos reímos y aplaudimos, fue hermoso."
4640,@NoticiasCaracol muy triste y desalentador esto crea rechazo y desprecio a venezolanos honrados. Los mismos venezolanos deben acusar ratas.
4647,"@taniapsuv @dcabellor @ConElMazoDando @PartidoPSUV @ConCiliaFlores Una dosis de patria, la inseguridad q cada día le quita la vida a los venezolanos pero para el gobierno, no pasa nada es un acto de montaje mediatico"
4650,"RT @JuanDaVelez: 438.000 niños venezolanos necesitan asistencia, 80% de venezolanos en Colombia sufren de inseguridad alimentaria. @UNICEF, @UN, @ACNURamericas desde Colombia hemos pedido urgente creación de Fondo Humanitario Internacional que responda a crisis. https://t.co/WK046lEvcO https://t.co/TtkvY0tZxL"
4653,@dcabellor No meta a los venezolanos los venezolanos son unas víctimas de unos hampones narcotraficantes mentirosos terroristas genocidas que tienen embobado a una minoría con mentiras y que no quieren ver que están siendo gobernados por unos criminales
4661,"Alcalde @MauriceArmitage la inseguridad con la cantidad de Venezolanos aposentados en el ""Túnel"", que une la Terminal de Transportes, es su ""RESPONSABILIDAD"", así se lee en el Cartel de la Administración de la Terminal. Ojo Alcalde, proteja los Usuarios!"
4665,"RT @carlaangola: ""En Venezuela no hay un gobierno, sino una pandilla de criminales que están acabando con la vida de los venezolanos"" @Diego_Arria (Ex Embajador de Vzla ante la ONU) con Carla Angola. Dale play y comparte tus comentarios. https://t.co/JtMbifIOtg #ALO"
4667,"RT @lfsanchezme: @Vicme100 Cómplice de la dictadura venezolana y amigo de terroristas y narcotraficantes en Colombia, como también protector de violadores de niños."
4668,"RT @tovarr: No es una sorpresa q chavismo vacíe cárceles para confundir delincuencia común con desesperación venezolana q huye d la narcotiranía, igual hizo Castro. Estamos ante una catástrofe d perversión y malicia. O derrocamos al chavismo o Latinomaerica será una desgracia inenarrable..."
4672,"RT @CNNEE: Huyen por la inseguridad, la desesperación por lo que sucede en el país y el hambre. Y lo hacen a pie, a veces por recorridos que duran días. Así son los inmigrantes venezolanos que huyen de su país hacia Colombia https://t.co/iBIGwZ2cQd"
4677,"RT @tovarr: No es una sorpresa q chavismo vacíe cárceles para confundir delincuencia común con desesperación venezolana q huye d la narcotiranía, igual hizo Castro. Estamos ante una catástrofe d perversión y malicia. O derrocamos al chavismo o Latinomaerica será una desgracia inenarrable..."
4682,"RT @NoticiasCaracol: “No somos ladrones, ni muertos de hambre. Somos seres humanos”: caminante venezolana https://t.co/VDUftPnlXX https://t.co/N3xBA1VvPV"
4686,"RT @LaPullaOficial: #LaPulla: Los venezolanos, que han salido de su país expulsados por la crisis, la están pasando muy mal a donde llegan. No los bajan de limosneros, prostitutas y ladrones. Es simple: hay que tener un poco de empatía con ellos. https://t.co/0YiF9yFAdu https://t.co/AjbsKTHyyy"
4690,QT @YeimisAriel: No sean hijueputas jajajajaja ; Hoy dos venecas por el precio de una. https://t.co/uID9k5257g
4691,"QT @fdelrinconCNNE: RT @HaydeeStarsSky: IMPOSIBLE VOLVER AHORITA !! CON TANTA FALTA DE VALORES, HAMBRE, FALTA DE MEDICAMENTOS Y DE MÉDICOS, INSEGURIDAD PERSONA… ; Los venezolanos que emigran a otro país saben que no es fácil. Pero por lo menos Gracias a DIOS encuentran trabajo y ganar más que en Venezuela para poder enviarle a sus familiares. No creo que hoy en día venezolanos griten ""QUEREMOS REGRESAR A VENEZUELA"" ¿Ustedes que opinan?"
4702,"RT @Diego_Arria: Grupo de Lima lo q ha dicho es"" acordamos no amenazar ni de ninguna manera permitir que le pongan un dedo encima al narco estado ni a sus pandillas.Que los venezolanos vean como se los arregan con estos criminales porque nosotros de ninguna manera vamos a ayudarlos."
4706,"La inseguridad y delincuencia a empeorado con la llegada de venezolanos a Bogotá, así es. #QG"
4708,"RT @DanielHincapieO: Se montó una chica venezolana a vender dulces a un bus que frecuento, había repartido los dulces a las primeras filas y desde atrás le gritaron ""QUE DICEN LOS HIJUEPUTAS"". La chica respondió “LOS MAL PARIDOS LOS MÁS GONORREAS”, todos reímos y aplaudimos, fue hermoso."
4715,"#LaPulla: En Bucaramanga, el personero dijo que los venezolanos son los responsables de la “desintegración familiar” y el alcalde se encargó de ponerle el moño al pastel diciendo que de Venezuela sólo llegan prostitutas, limosneros y desocupados. https://t.co/FXwOYYQGSi https://t.co/WRQS6nIein"
4719,QT @MabelLaraNews: El gobierno de Venezuela es un desastre y este tipo es un cínico riéndose de las circunstancias de los venezolanos. ; Mientras el Banco Mundial de alimentos denuncia que el 80% de los venezolanos que han salido de su país sufren de inseguridad alimentaria; el mundo conoce el v este vídeo del chef @nusr_ett con @NicolasMaduro https://t.co/Pvp8nwy22p
4721,"RT @NoticiasCaracol: “No somos ladrones, ni muertos de hambre. Somos seres humanos”: caminante venezolana https://t.co/w9GPtN7p88"
4723,RT @PoliciaArauca: En el marco del #PlanChoque #ElQueLaHaceLaPaga #SeguridadConLegalidad @GaulaPolicia realizo la captura una persona de sexo femenino venezolana por el delito de #Extorsion quien exigía dinero a cambio de no publicar fotografías y videos íntimos a la familia de la víctima. https://t.co/2YNogVEE1K
